Account,Title,Subscribers,Views,Likes,Comments,Shares
akngbutaj,gbtparah乂 𝐁𝐀𝐋𝐈👑,467100,3600000,211900,621,1400
hellmoona,🌈ＬＵＣＩＡ ＭＩＣＨＥＬＬＥ🌈,423500,1600000,337500,1600,1300
sammijefcoate_,Sammi,1500000,1600000,211000,2200,2400
joshcullens,josh_cullen_s,632100,748800,164300,10700,1800
auditydraws,Audrey,13400000,1600000,273800,2400,1100
yun_bao,YUN,6600000,1400000,251600,2500,1900
santosrafaelblog,Rafael Santos,15500000,1500000,334900,2600,485
kiocyrrr,Kio Cyr,9100000,2400000,295100,1000,1100
haositofficial,HaositOfficial,940100,1200000,176300,6000,1200
songsforlittles,Ms Rachel,413900,2100000,217900,1800,1500
annupton.art,annupton.art,147700,1600000,136500,1000,5900
deiveleonardooficial,Deive Leonardo,5300000,853100,86700,777,19800
ygordelano,Ygor Delano,168000,1400000,153900,2200,4800
sole.resell,Sole Resell,1700000,2200000,302600,1300,1000
viajedeamor,Viaje de Amor,257700,988100,48500,538,31100
jadepicon,JADE PICON 🌪,5800000,2500000,242200,1500,949
deshawnharrisss,Deshawn ✪,2100000,1700000,225400,2800,1200
luisitocomunica,Luisillo El Pillo,13700000,2400000,265300,1100,1200
anuwattiktok,Anuwat Noom,3200000,1400000,110300,1500,8300
mastercorbuzier,Deddy Corbuzier,1500000,2000000,121000,3300,2800
philipdefranco,Philip DeFranco,656200,1500000,183200,3500,1900
v1ctoryuh3.0,sexy lady,1500000,934300,194800,2500,5600
brigancosplay,Brigan Cosplay,690200,2400000,319400,1000,890
gavinmagnus,GavinMagnus,5000000,2000000,222000,2900,430
lilireinhart,Lili Reinhart,4100000,1200000,235100,4100,1100
jakeandrich,Jakipz / Jake Andrich,9800000,2000000,151000,2300,2600
_inireva,user r,9400,718100,150200,2500,11200
graysworld,Gray,4300000,1600000,218200,1300,2900
tyt_pp,Оля👩🏻‍🍳,686700,1300000,168200,671,6100
vohr,Vohr,5200000,1500000,212500,2400,2400
jauncydev,jonny devaney,1200000,1100000,188800,1200,5800
rebecalemoss,Becca,1900000,1300000,248000,4100,616
riwww,Renata Ri,13500000,1500000,203500,4000,837
cciinnn,CiiN,4500000,2400000,291200,1600,539
b_6x,تلاهيت || 🇸🇦Yaser .,685200,2200000,115800,3300,2500
juliano,julianofloss,6000000,1700000,231600,3100,605
anitta,Anitta,14000000,1700000,253300,2400,957
daleyzabeauty,Daleyzaa_beautyy,1900000,3100000,86700,144,5200
carew_ellington,Carew Ellington,5900000,1800000,306900,2000,572
paupelaez_,ʜᴀɴᴇᴍɪʏᴀ,3900000,1400000,262600,3200,835
moldogaa,moldoga,558500,1400000,170700,4300,1700
mr.sexyguy,Evan Palmblad,3300000,1100000,216100,3200,2800
wayeelkaboy10,Wayeelka boy10,465300,1600000,188600,2600,2300
dersiimx,Dersim 👅,2100000,1000000,231500,4600,1500
natalyaericka,Natalya Ericka,592900,990800,219100,2900,3700
mikhail_litvin,mikhail_litvin,8000000,3500000,302400,985,364
moontellthat,MOONTELLTHAT,12400000,2500000,142000,1600,2400
waleedalassal,وليدالعسل,135400,4600000,106400,227,2700
yacine_kentache,Yacine kentache,631500,1600000,96200,6600,2900
nilocreyes,Niloc Reyes,343500,1200000,117900,711,9000
thaotaotau,Phương Thảo,4900000,2600000,322800,1300,321
linatejeiro8,Lina Tejeiro,3800000,2400000,178500,710,2600
ariwibxwx,Ari.Wibxwx,1400000,2100000,237500,1700,1100
lea_navvab,💛LEANAVVAB랴밥💛,2200000,1200000,282200,3200,929
kittygod_cn,KittyGod,5200000,2500000,148300,864,3000
morganpresleyxo,Presley,5000000,1300000,219400,1600,3300
xlilsoup,Soup,1700000,2000000,299300,2100,274
ignaciaa_antonia,Ignacia Antonia👑,26800000,2300000,347400,1200,556
tuckot,tuck,2000000,973700,162100,2200,6700
weirdryanstuff,Weird Ryan,1200000,1700000,31000,26400,418
imanthonyvargas,Anthony Vargas,6400000,2000000,321400,1100,1100
homm9k,ХОМЯК,37100000,2000000,280200,1900,527
sjbleau,SJ,11700000,2600000,302000,1100,615
caioceu,Caio Céu,5900000,1800000,172800,4000,493
amberromeike,amber,2700000,2400000,296500,959,972
leozinn.077,Leozinn,4400000,2500000,234900,1400,988
namyulenka,Namy,5700000,1700000,335100,1600,847
pr4nce,gabriel prince,1800000,1100000,226600,3000,2500
rebeccazamolo,rebecca zamolo,16600000,2000000,178200,3500,365
slickbartender,SlickBartender,9500000,4900000,188500,1200,313
lilnasx,lil nas x,27200000,1700000,331400,1600,838
cristorata7,Cristorata,991900,1800000,218100,1400,2100
ruroc,Ruroc Helmets,1100000,2100000,218200,628,2300
rayanfahmi,Rayoon,3100000,2800000,231700,870,1200
marianamiamorch,MARIANA,12200000,1300000,188300,4100,1500
aylin.criss,Aylin,16200000,2700000,337200,857,659
aichangemoy_,YT : AiChan TV,5900000,1600000,232900,2900,686
carolinarinconf,carolina,3800000,2100000,214100,1600,1400
taetoowavy,Alantae Nicholas,6800000,1100000,203100,4500,1600
corvii_ff,EL CORVII 🍭,10300000,1600000,259400,2900,307
nilskue,Nils Kuesel,7000000,1100000,249000,3600,1300
jidion,JiDion,2900000,1400000,219700,3500,842
erictro,Eric Tro,1300000,2700000,276800,655,1100
the.drone.guy,👑King of the sky👑,1300000,2500000,273000,1500,399
isareche,Isabella,187900,2000000,311300,984,1100
freeritzyralph,Ritzyralph,850700,1200000,221100,2000,3000
tsezy,Tommy,4800000,2000000,253500,1900,735
madsteaparty,mad tsai,2800000,1100000,210200,4700,1200
kotachumu,こたつ@フォーエイト,3400000,2200000,109300,3100,2400
venao2323,YANFRY EL TIERNO🙈,3700000,2300000,173300,1100,2100
sebastiancomedy,sebastiancomedy,442800,1400000,137100,570,6200
storyfilmz,𝕾𝖙𝖔𝖗𝖞𝖋𝖎𝖑𝖒𝖟,75200,1300000,242800,1200,3000
itstalasafwan,تالا صفوان | Tala Safwan🌵👸🏽,3500000,1900000,140300,4500,360
theacefamily,Theacefamily,6100000,2500000,290900,0,1800
brotherofcolor,Heyimparis,10300000,2000000,216900,2400,720
ysahcabrejas_,YSAH,1000000,4100000,174800,1400,381
tasiaalexis,Tasia Alexis,3400000,1900000,301700,1000,1200
yskaela,Yaena Yskaela Fujimoto,9100000,2100000,290700,935,1200
ifdhalr.a,ifdhalr.a,10300000,2900000,295900,1200,347
ramonvitor,ramonvitor,1100000,1400000,291700,1100,2000
thelondoncharles,London Charles,5300000,1400000,293400,2000,1200
abdullah_eltourky,Eltourky 👑,6300000,1900000,231400,1300,1600
midnightmood_oficial,Midnight Mood,12700000,1300000,151800,455,6000
maminena0,Mami Nena,3300000,1300000,211600,4000,842
mercuri_88,Manuel Mercuri,17700000,2400000,210500,1100,1500
pizza_kjj,Pizza,978600,1600000,144500,1700,4000
vlad.hoshin,HOSHIN,9900000,1000000,201800,5000,1300
dannygrubs,Danny Kim,2400000,2300000,210800,1100,1600
garett__nolan,garett nolan,12300000,1800000,142000,2600,2300
laserluca,laserluca,3000000,1500000,223000,2200,1600
austinandlexi,⚡️Austin & Lexi 💥,2800000,1600000,228500,1300,2200
undos,zach,5900000,1000000,268900,3600,1100
treynkennedy,Trey Kennedy,3000000,1200000,138500,921,6700
daniela_giraldo1,Daniela Giraldo,17700000,2400000,360400,1200,288
emirelidemir0,Emir Elidemir,874200,2500000,114700,645,3800
duncanyounot,Duncan Joseph,4200000,1400000,360300,1700,763
jennifer_aplicano,Jennifer Aplícano,747200,1600000,146800,3000,2300
minhnghia13522,✨Min Minn✨,2400000,2200000,264400,1900,289
lil_stace,Lil Stace,5200000,2100000,242000,1000,1400
nicoletv,Kayla Nicole,9900000,2000000,399900,983,583
carloandsarah,,3000000,2600000,177300,662,2100
suaraibra,𝐢𝐛𝐫𝐚,383400,922500,174200,1100,6700
johaanzu,JohaanZu,3400000,1700000,316800,1700,661
lifeofharrison,Harrison,2700000,1400000,489200,1100,731
joerauth_,Joe rauth,4400000,1700000,251000,1100,1900
charlizeruth,charuth,1900000,1900000,250900,1400,1200
dilanjaniyar_2,Emang Dilan namanya,2000000,2100000,248700,2000,357
itssissysheridan,sissy sheridan!,6300000,1800000,320100,841,1300
leleburnier,LELÊ BURNIER,1100000,1200000,284300,2800,968
sofiadelmonstro,Cat Sofia,5200000,2600000,161200,1300,1600
jena,Jena,10500000,2800000,320300,856,512
christiandaloii_,Christiandaloii_,2700000,1100000,188600,3000,2900
davidgetial,deivis,13200000,2300000,337500,1400,212
