Account,Title,Subscribers,Views,Likes,Comments,Shares
qamar_altaey,𓆩𝑄𝐴𝑀𝐴𝑅¹⁶𓆪,2500000,4300000,391900,10900,11800
jennmelon,Jenn Melon,1800000,3400000,888800,5600,7000
nourmar5,nourmar5,14200000,4100000,312700,15400,14200
jaykindafunny8,Jaykindafunny,22300000,12000000,467800,2600,4000
itsjulia.a,julia,16700,4500000,748500,3800,7000
spencer_serafica,Xspencer,11800000,4900000,821900,6600,2500
angelaaguilar_,Angela Aguilar :),8100000,10500000,747900,2600,2000
pkllipe,Pk,15700000,5100000,775500,3700,5300
hayleygeorgiamorris,Hayley Morris,2700000,3300000,489600,2200,19400
twice_tiktok_official,TWICE,13200000,2400000,779200,13800,4800
lexibrookerivera,Lexi Rivera,20500000,5700000,682800,5900,2700
theandrewschulz,Andrew Schulz,2100000,4200000,445600,1800,16100
kallmewhateveryouwant,kallmewhateveryouwant,10600000,5000000,713800,4600,4700
larrayeeee,LARRAY,25500000,4400000,797700,6800,2600
anaraquelhz,Raquel,2600000,4500000,376900,4700,14300
mr_paul.boy,"Паул, либо просто Паша",6700000,4100000,806800,5300,4300
connoralik,Коннор,7400000,8300000,645700,3100,2800
unkabogableviceganda,Vice Ganda,8200000,7500000,813500,3300,1900
ivanzolo2004,Vanya Zolochevsky,3400000,5500000,409000,11600,2400
charlieputh,Charlie Puth,15400000,5400000,778700,5700,1600
fayx.lct,Fátima 💜🌷,2900000,2600000,447100,25700,1200
thecoreyb,Corey B,8300000,3300000,427500,1800,20200
liquidverve,@liquidverve,1100000,10100000,926500,1400,1900
lai8747,LAi65,1800000,5300000,446100,8100,4800
max7424453118,Max Taylor,2800000,3500000,572600,5200,9500
bella.k.hadid,Bella Hadid,4000000,4100000,763100,6300,3200
bayashi.tiktok,バヤシ🥑Bayashi,19300000,5800000,673900,5500,1800
virginiafonseca,Virginia,29100000,6000000,766000,4400,1800
pigpongyt,PigPong,2500000,9000000,625300,2500,2500
halsey,Halsey,4100000,3700000,692500,6200,4700
com.yuta0305,【コムドット】ゆうた,960300,2500000,346300,20100,12800
aliprasetya6,alii,6400,5100000,469900,4000,7400
joshiiwuhhh,Joshua Alden,3000000,6300000,722700,1600,4300
yesikanoemitamayo,Yesika Tamayo,936200,3000000,1000000,2400,6600
eyavanana,Eya,8700000,4900000,773100,5100,2000
arigameplays,AriGameplays,18000000,4800000,656500,5500,3000
thallyssonsb,Thallysson Borges,7700000,3400000,558000,5400,8800
jamescharles,James Charles,35700000,6100000,672700,5400,1100
kervo.dolo,Kervo.dolo,4600000,4300000,619800,3000,6900
tombrady,Tom Brady,3300000,3800000,485700,10600,3700
thealpharaid,CinaPop Buff,175500,4400000,398600,3800,11100
luxurydark,LuxuryDark,1300000,4200000,362300,10700,6100
mdmotivator,Zachery Dereniowski,5600000,6300000,866700,3100,1500
christianfabiannn,Christian Fabián D.,11100000,5600000,682500,5900,599
trainee_a,Trainee A,2200000,2500000,590900,9500,7000
mikaylahau,Mikaylah,4100000,4100000,528300,2600,8500
mieayamthebstt,Unaa🍜,12300000,5100000,621000,5800,1800
shayrudolph,hi i’m shay,2700000,3000000,672300,8300,3300
louflores_,Lou Flores,2600000,4000000,470400,1300,11000
charlidameilo,Not impersonating,1400000,2700000,415800,8000,12200
01ayres,Yeol Ayres D.A.,5500000,4400000,728200,4200,2700
samkamusic,INSTASAMKA,11700000,4700000,548000,5000,3500
tararistic4,Tara Ristic,607400,3400000,267200,3700,20300
ferchugimenez,Fernanda,3400000,5600000,704600,2100,3400
aliciacastro___,Alicia Castro,2300000,5200000,900800,3200,1400
mkbhd,Marques Brownlee,1300000,3400000,450600,3200,10700
angryreactions,Oneya D’Amelio,25500000,4700000,533000,5900,2500
joaoumdoce,João Doce,1900000,6400000,453500,4300,2900
brittikitty,Brittany & Lily,10900000,3400000,422400,5300,9200
adifishy,adifishman,2300000,21500000,397000,1100,1300
hannahstocking,Hannah Stocking,25600000,6200000,960700,2500,883
shindonggg,신동 ShinDong,1600000,3000000,563100,7500,4500
luelvesfelix,Luelves Felix,4000000,3600000,371900,2500,12300
aviranisha,Avira Nisha,2800000,5700000,720300,3900,915
itskeyonn,Keyon,572400,1900000,492800,6400,14600
lindseyjswyatt,lindseyjsw,1900000,3600000,735900,4700,2600
samseats,Sam Way,8600000,4200000,665600,3400,3400
lachama4_ff,LA CHAMA ᴰ,7500000,3700000,512900,9400,677
siennamae,siennamae,13800000,17500000,423100,0,2600
prillylatuconsina15,prilly latuconsina,6000000,3700000,520500,3600,6100
itsmenicksmithy,Nick Smithyman 🤓,5100000,2800000,447300,7200,7400
emilen_im,Эмильен,4000000,5300000,663100,4000,1200
abir.sag,Abir e sag,9200000,3300000,401700,9300,4000
ynchq,ЯN,3000000,4100000,613300,2700,4200
christiankesniel,kesniel,2100000,4700000,661800,3800,1800
bittersweetbynajla,bittersweet by najla,4300000,3700000,491500,8100,1300
theovon,Theo Von,1300000,3300000,346000,2600,12300
abbieherbert,AbbieHerbert,11500000,5900000,704000,2300,1700
yesimresmi1,~YEŞİM,15800000,7000000,396700,4200,1800
asasteinars,Ása Steinars,352800,4200000,1600000,1200,1300
thesupercole,Cole LaBrant,21900000,5300000,627100,4000,966
sergioramos,Sergio Ramos,9200000,4400000,514900,6000,1100
cerolzera,CEROL,3800000,2400000,335200,17100,3400
taniadulce1,🍭🍬Tania Dulce🍬🍭,2900000,5100000,262700,11400,756
yns_btray,yns_ rg 🕷,603700,5500000,355900,4200,4000
yungdaddycack,Devin Santiago,615200,2600000,449000,7200,6700
caleb.finn,Ｓｔａｙ　ｈｙｄｒａｔｅｄ　緯俺な,14700000,4700000,815100,3300,842
history.war,Your HistoryTube,3000000,12700000,487800,1300,1200
user4350486101671,user4350486101671,16100000,2800000,534600,7000,3500
mang_ari8450,Mang Ari,3500000,6900000,303900,6700,701
jaimeonod,Jaime Onod,926300,2900000,352700,9200,6000
iamjonathanpeter,Jonathan Peter,12200000,4200000,586600,2200,4100
mmmjoemele,Joe Mele,20400000,5500000,606800,2200,2400
gritside,gritside,3300000,3300000,389800,1700,10200
keniaos,KeniaOs,13300000,3200000,539500,6400,2300
hoaa.hanassii,Đào Lê Phương Hoa,9400000,5300000,638800,3100,1300
jamesmaddison,James Maddison,1200000,3300000,363500,11900,514
williesalim,WILLIE SALIM,7000000,5900000,473100,3900,1400
maxtaylorlifts,Max Taylor,7100000,2600000,478200,5000,6700
championsleague,Champions League,8700000,3900000,540200,3400,3500
imdopemar,Amar Mujkanovic,3400000,2400000,382900,5500,10200
ndn2307,Ngô Đình Nam💦,4200000,6900000,615200,2700,733
colleen,Colleen Ballinger,8600000,3900000,743000,3200,1700
nessaabarrett,Nessa Barrett,17800000,3300000,426800,4800,5200
blythe,Andrea Brillantes,16700000,6000000,553100,2200,2000
sunduk91,СУНДУК,1700000,3600000,191900,912,19300
oliviagobrien,liv,1400000,3500000,607000,4000,2500
arroncrascall,Arron Crascall ,4300000,2600000,268900,2800,16400
tooturnttony,Tooturnttony,14500000,5400000,375900,3200,3300
daregularsauce,DaRegularSauce,839500,2800000,545700,4900,3700
arfaytb,ARFAYTB,249300,2100000,348200,1100,16400
joaoferdnan,João Ferdnan,7100000,2100000,353900,6200,11200
ser_jay,Hello It’s me SerJay,4400000,2500000,448200,2800,8700
maiaknight,Maia Knight,7200000,4200000,729600,3000,1100
xpersss,𝐨𝐯𝐞𝐫𝐥𝐚𝐲’𝐬,599700,2500000,453600,1800,9300
trevorwallace,trevor wallace,6900000,3000000,392600,1300,9400
p0_2,مشاري بن عبدالعزيز    -,1300000,4400000,219800,11400,1700
i_am_doshik1,i_am_doshik,18300000,4000000,430500,6300,1000
francoescamillaofficial,Franco Escamilla,10900000,3800000,497900,762,5800
honeybobabear,HoneyBobaBear,7200000,5200000,620000,3000,823
jackjos3ph,Jack Joseph,2300000,2400000,327500,5000,10700
nikkietutorials,nikkietutorials,4800000,4100000,628300,3200,1600
cellat36,cellat36,8100000,3500000,252700,10700,3100
claragnds,Maria Clara Garcia,15200000,3400000,401100,6400,2500
ericfinchofficial,Eric Finch,2700000,6100000,213200,2400,7000
jbdjebb,Jean-Baptiste Djebbari,810000,2800000,486700,6800,2200
basechkaa,basechka,107900,2300000,432700,4800,7400
ya_gazdanova,Нина Газданова,3000000,3100000,196000,865,18600
rud.petruchi,RA™,178300,3300000,459500,3200,4600
vhongx44,Vhong Navarro,5100000,4800000,524800,2700,2000
jeffthekiller_xd1,jeff the killer 🔪🖤,592800,2900000,439500,6100,3100
antonioslimgovea,antonioslimgovea,7100000,3200000,459600,1700,6200
rayssabuq,Rayssa Buq,5000000,3000000,403000,5300,4200
josh.zilberberg,Josh Zilberberg,2500000,2100000,259100,915,20000
tommyinnit,Tommy,11200000,2400000,524700,7000,2000
thesierracapri,thesierracapri,2200000,4400000,889200,2200,673
yailinlamasviraloficial_,Yailin La Más Viral,1800000,7500000,208400,5600,1600
neildegrassetyson,StarTalk,3800000,2300000,299700,6600,10000
dovecameron,Dove Cameron,7300000,2400000,588500,6400,1400
pollerocho,pollerocho,2600000,3200000,429500,1600,6500
bretmanrock,bretmanrock,13900000,3700000,598600,2700,2300
thee.marlie.b,Big Merla,1700000,1900000,201700,2500,26100
sabrinacarpenter,Sabrina Carpenter,11700000,3700000,474600,4400,1900
andcarli,Anderson Carli,4000000,10100000,338200,2100,1000
its_darcilynne,Darci Lynne,3900000,2400000,838700,3600,1900
artbydemarcusshawn,DemarcusShawn,5800000,2500000,337000,4400,8200
limeu,LIMEU,615600,2700000,456700,2500,6000
official_kep1er,Kep1er,2800000,3300000,489700,3900,2700
rodezel,rodezel,1200000,2700000,497000,3400,4500
willuzi,Willypoo,1200000,1700000,367000,8900,8400
junya1gou,Junya/じゅんや,41300000,5300000,184100,5900,4800
rachaeloneil,Rachael O'Neil,907500,2800000,511500,3500,3800
jacksepticeye,Jacksepticeye,3600000,2700000,486000,5400,2400
daniel.khosravi,Daniel Khosravi,3200000,1700000,238200,6200,19200
hmg....4,fourhmg,1700000,2700000,312200,5700,6400
hannahowo6669,hannah♡,5400000,3100000,344400,5100,4600
jdiasss_,João Dias,6800000,2800000,502800,4900,2300
flavinhalouise,Flavinhalouise,9900000,3500000,309400,2200,7200
edgardumali,Choox TV,7400000,3300000,385000,5700,2200
mensagensprclaudioduarte,Francisca,1600000,1700000,131500,484,45100
jombospice,JOMBOSPICE,6700000,3000000,348700,7000,2800
belinaysandikci,BELİNAY SANDIKÇI,1000000,3300000,291800,1600,8700
danielarodrice,Daniela Rodrice,9600000,5300000,789700,1600,790
laurahfritz,laura & lena,2400000,3100000,522000,2200,4000
whoamirony,Irony,293000,2100000,903300,2200,3000
iamcindymiranda,cindy,350800,2200000,247600,8000,9800
lizzo,lizzo,21000000,3000000,604400,4300,1100
sonyakisa8,Cat Sonya,16000000,4300000,315900,1000,6100
fadlyfsl_,band1t 🐐,2100000,4700000,531700,2800,1200
astrofalls_,astrofalls,1500000,2000000,504300,6200,3100
nianaguerrero,Niana Guerrero,29600000,3600000,478900,3700,1900
lisav_,ну лиз,1800000,2600000,541700,2900,3900
michou_yt,Michou,6300000,3900000,515200,3400,1300
siscakohl,Sisca Kohl,10000000,3900000,370600,5300,1100
fabru_blacutt,Fabru,16200000,5200000,426500,3500,775
wenniedapoo,陈文龙,313200,2700000,298900,4000,7400
